id,first_name,last_name,age,gender,birth_year,marital_status,education_level,employment_status,occupation,annual_income,household_size,location,full_address,phone_number,email,temperament_type,temperament_description,temperament_traits,country,locale
0fffa1f8,Glenn,Thomas,26,Male,2000,Divorced,High school diploma/GED,Employed part-time,Dietitian,25749,3,New Leighmouth,"886 West Street, Hallchester, W8F 2SR",(0114) 4960642,patrickscott@example.org,Aggressive,"Quick to anger, confrontational","assertive, forceful, competitive",United Kingdom,en_GB
f8588c1b,Rita,Bell,72,Female,1954,Widowed,Associate degree,Retired,,41049,2,North Nigel,"423 Church Gardens, Ballland, WR9 0DE",+44117 4960023,henryhayes@example.com,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
039bd3c8,Terry,Roberts,45,Male,1981,Married,High school diploma/GED,Employed full-time,Land/geomatics surveyor,39818,3,Eleanorhaven,"951 Lake Close, Rhodesland, CM4P 2UU",0117 4960482,rbrennan@example.com,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
203cbe36,Norman,Welch,26,Male,2000,Married,"Some college, no degree",Employed part-time,Further education lecturer,17140,1,New Jayhaven,"382 Deborah Square, Georgemouth, KY2B 7HA",+44(0)909 879 0663,louise20@example.com,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
3a12a058,Kevin,Kaur,25,Male,2001,Married,Less than high school,Employed full-time,Barrister,22386,1,Sharpshire,"83 Third Close, New Georgina, BT1 2XD",0808 1570172,tdavis@example.net,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
80828dad,Lindsey,Cook,87,Female,1939,Married,"Some college, no degree",Employed full-time,Museum/gallery conservator,24581,1,Knightfort,"877 Rose Road, Port Lee, E40 2LH",(0115) 4960435,joneslorraine@example.com,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
e0449ef8,Mitchell,Connolly,60,Male,1966,Single,Associate degree,Employed part-time,Communications engineer,21278,1,Harrisside,"648 Third Close, Charlotteview, IV08 9GB",(01632) 960259,clarestone@example.com,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
22f4ca84,Carl,Bruce,59,Male,1967,Single,"Some college, no degree",Unemployed,,4236,2,East Hughborough,"689 Kirsty Grove, Lindaburgh, LA45 6LJ",01314960215,ppatel@example.net,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
f205f3d5,Julie,Thompson,23,Female,2003,Single,Associate degree,Unemployed,,2077,1,Peterville,"28 South Crescent, Lake Gordonburgh, GY12 1ET",+44131 4960833,graeme25@example.net,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
573d84a9,Jacqueline,Williams,43,Female,1983,Married,Master's degree,Employed part-time,"Designer, multimedia",29588,1,West Louise,"515 Patrick Gardens, Smithhaven, N3 3EL",+44(0)115 496 0886,johnsonharry@example.net,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
6d9da623,Sheila,Burns,71,Female,1955,Widowed,Associate degree,Employed part-time,"Psychologist, sport and exercise",34924,2,West Katyton,"128 Fifth Avenue, Raymondfort, M4 8ZE",0808 1570364,baileymary@example.net,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
66c84bcf,Wayne,Berry,65,Male,1961,Divorced,Master's degree,Employed full-time,"Engineer, technical sales",93519,3,Stevenborough,"478 Lake Close, East Henryland, S5G 2ND",+44131 496 0108,john16@example.net,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
c9148dcf,Alison,Gregory,74,Female,1952,Married,Bachelor's degree,Retired,,42242,1,South Terence,"633 West Road, Annetteland, HS8 1BJ",(0121)4960632,whitepamela@example.com,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
8ce8537b,Carl,Williams,69,Male,1957,Widowed,Less than high school,Employed part-time,"Horticulturist, commercial",24450,1,Lake Donald,"686 Rose Road, Davisberg, IG56 0TS",+44191 4960517,burnsgary@example.org,Pessimistic,"Tends to focus on negative aspects, expects the worst","negative, doubtful, cynical",United Kingdom,en_GB
8d3eb780,Howard,Roberts,27,Male,1999,Married,Master's degree,Employed full-time,Paramedic,109745,2,Russellland,"318 Patrick Gardens, East Davidshire, N40 6JA",0115 496 0312,sean32@example.net,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
1906d1e0,Martyn,Patel,27,Male,1999,Single,Associate degree,Employed full-time,"Teacher, English as a foreign language",42740,1,Lake Samview,"677 Garden Terrace, East Marilyn, N7U 3ZB",+44(0)8081570997,amelia38@example.com,Optimistic,"Generally positive outlook, sees the good in situations","positive, hopeful, cheerful",United Kingdom,en_GB
a36daf11,Geraldine,Barnett,97,Female,1929,Divorced,High school diploma/GED,Retired,,29880,2,Nicolemouth,"618 Amy Gardens, Griffinfurt, S37 3SZ",+44(0)2074960653,fstephens@example.com,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
d420b831,Carole,Lucas,41,Female,1985,Married,High school diploma/GED,Employed full-time,"Conservator, furniture",31216,1,Kennethshire,"372 Kirsty Grove, New Charles, BR86 8NX",+44(0)121 496 0498,russellhorton@example.net,Calm,"Even-tempered, rarely shows strong emotions","peaceful, composed, steady",United Kingdom,en_GB
c850ecd1,Francesca,Evans,46,Female,1980,Single,High school diploma/GED,Employed full-time,"Radiographer, therapeutic",37265,1,West Samuelborough,"905 School Terrace, Bretthaven, KA4W 8JA",+44114 4960669,bennettbeth@example.com,Reserved,"Quiet, prefers solitude or small groups","introverted, quiet, private",United Kingdom,en_GB
12bf6b36,Laura,King,59,Female,1967,Single,Bachelor's degree,Employed full-time,"Editor, magazine features",78219,1,Brianstad,"730 Fifth Avenue, Cameronfurt, W92 8FU",0121 496 0518,jonesgarry@example.net,Calm,"Even-tempered, rarely shows strong emotions","peaceful, composed, steady",United Kingdom,en_GB
dfb52541,Janet,Davies,38,Female,1988,Widowed,Bachelor's degree,Employed full-time,Toxicologist,88448,1,Lake Marcusborough,"535 Kirsty Grove, West Nigelmouth, M64 7LD",(0118) 4960295,ellisarthur@example.com,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
